School,Sport,Division,Conference,Roster URL 2024 (candidate),Method,Roster URL 2025 (known good),2025 Player Count,Status,Notes
New Haven,mens-soccer,NCAA D1,Northeast-10,https://newhavenchargers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://newhavenchargers.com/sports/mens-soccer/roster/2025,46,todo,
New Haven,womens-soccer,NCAA D1,NEC,https://newhavenchargers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251201023931/https://newhavenchargers.com/sports/womens-soccer/roster,36,todo,
New Mexico,womens-soccer,NCAA D1,Mountain West,https://golobos.com/sports/wsoc/roster,no year in URL — check the site for a 2024 season selector,https://golobos.com/sports/wsoc/roster,29,todo,
New Mexico Highlands,womens-soccer,NCAA D2,Rocky Mountain Athletic Conference,https://nmhuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nmhuathletics.com/sports/womens-soccer/roster/2025,30,todo,
New Mexico State,womens-soccer,NCAA D1,CUSA,https://nmstatesports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251105133221/https://nmstatesports.com/sports/womens-soccer/roster,31,todo,
New York University,mens-soccer,NCAA D3,UAA,https://gonyuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gonyuathletics.com/sports/mens-soccer/roster/2025,29,todo,
New York University,womens-soccer,NCAA D3,University Athletic Association,https://gonyuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gonyuathletics.com/sports/womens-soccer/roster/2025,34,todo,
Newberry,mens-soccer,NCAA D2,SAC,https://newberrywolves.com/sports/mens-soccer/roster/2024,year-swap (direct),https://newberrywolves.com/sports/mens-soccer/roster/2025,43,todo,
Newberry,womens-soccer,NCAA D2,South Atlantic Conference,https://newberrywolves.com/sports/womens-soccer/roster/2024,year-swap (direct),https://newberrywolves.com/sports/womens-soccer/roster/2025,33,todo,
Newman,mens-soccer,NCAA D2,MIAA,https://newmanjets.com/sports/mens-soccer/roster/2024,year-swap (direct),https://newmanjets.com/sports/mens-soccer/roster/2025,60,todo,
Newman,womens-soccer,NCAA D2,Mid-America Intercollegiate Athletics Association,https://newmanjets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://newmanjets.com/sports/womens-soccer/roster/2025,37,todo,
Niagara,mens-soccer,NCAA D1,MAAC,https://purpleeagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://purpleeagles.com/sports/mens-soccer/roster/2025,26,todo,
Niagara,womens-soccer,NCAA D1,Metro,https://purpleeagles.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251231183524/https://purpleeagles.com/sports/womens-soccer/roster,23,todo,
Nicholls,womens-soccer,NCAA D1,Southland,,no source URL recorded — discover from scratch,,33,todo,
Nichols,mens-soccer,NCAA D3,CCC,https://nicholsathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nicholsathletics.com/sports/mens-soccer/roster/2025,35,todo,
Nichols College,womens-soccer,NCAA D3,Conference of New England,https://nicholsathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nicholsathletics.com/sports/womens-soccer/roster/2025,23,todo,
North Alabama,womens-soccer,NCAA D1,UAC,https://www.roarlions.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250914085959/https://www.roarlions.com/sports/womens-soccer/roster,35,todo,
North Carolina,mens-soccer,NCAA D1,ACC,https://goheels.com/sports/mens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251223024523/https://goheels.com/sports/mens-soccer/roster,30,todo,
North Carolina,womens-soccer,NCAA D1,ACC,https://goheels.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251201164324/https://goheels.com/sports/womens-soccer/roster,27,todo,
North Carolina Wesleyan,mens-soccer,NCAA D3,ASC,https://ncwsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ncwsports.com/sports/mens-soccer/roster/2025,58,todo,
North Carolina Wesleyan University,womens-soccer,NCAA D3,USA South Athletic Conference,https://ncwsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ncwsports.com/sports/womens-soccer/roster/2025,27,todo,
North Central (IL),mens-soccer,NCAA D3,CCIW,https://northcentralcardinals.com/sports/mens-soccer/roster/2024,year-swap (direct),https://northcentralcardinals.com/sports/mens-soccer/roster/2025,35,todo,
North Central College,womens-soccer,NCAA D3,College Conference of Illinois & Wisconsin,https://northcentralcardinals.com/sports/womens-soccer/roster/2024,year-swap (direct),https://northcentralcardinals.com/sports/womens-soccer/roster/2025,35,todo,
North Dakota,womens-soccer,NCAA D1,Summit,https://fightinghawks.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251211232139/https://fightinghawks.com/sports/womens-soccer/roster,30,todo,
North Dakota State,womens-soccer,NCAA D1,Summit,https://gobison.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251112221646/https://gobison.com/sports/womens-soccer/roster,31,todo,
North Florida,mens-soccer,NCAA D1,ASUN,https://unfospreys.com/sports/mens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251002061516/https://unfospreys.com/sports/mens-soccer/roster,32,todo,
North Florida,womens-soccer,NCAA D1,ASUN,https://unfospreys.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251002061837/https://unfospreys.com/sports/womens-soccer/roster,29,todo,
North Georgia,mens-soccer,NCAA D2,Peach Belt,,no source URL recorded — discover from scratch,,40,todo,
North Georgia,womens-soccer,NCAA D2,Peach Belt Conference,https://ungathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ungathletics.com/sports/womens-soccer/roster/2025,33,todo,
North Greenville,womens-soccer,NCAA D2,Conference Carolinas,https://nguathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nguathletics.com/sports/womens-soccer/roster/2025,27,todo,
North Park,mens-soccer,NCAA D3,CCIW,https://athletics.northpark.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.northpark.edu/sports/mens-soccer/roster/2025,54,todo,
North Park University,womens-soccer,NCAA D3,College Conference of Illinois & Wisconsin,https://athletics.northpark.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.northpark.edu/sports/womens-soccer/roster/2025,24,todo,
North Texas,womens-soccer,NCAA D1,American,https://meangreensports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250903111329/https://meangreensports.com/sports/womens-soccer/roster,28,todo,
Northeastern,mens-soccer,NCAA D1,CAA,https://nuhuskies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nuhuskies.com/sports/mens-soccer/roster/2025,28,todo,
Northeastern,womens-soccer,NCAA D1,CAA,https://nuhuskies.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251216183236/https://nuhuskies.com/sports/womens-soccer/roster,25,todo,
Northeastern State,mens-soccer,NCAA D2,GAC,https://goriverhawksgo.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goriverhawksgo.com/sports/mens-soccer/roster/2025,28,todo,
Northeastern State,womens-soccer,NCAA D2,Mid-America Intercollegiate Athletics Association,https://goriverhawksgo.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goriverhawksgo.com/sports/womens-soccer/roster/2025,32,todo,
Northern Arizona,womens-soccer,NCAA D1,Big Sky,https://nauathletics.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251230100228/https://nauathletics.com/sports/womens-soccer/roster,33,todo,
Northern Colorado,womens-soccer,NCAA D1,Big Sky,https://uncbears.com/sports/womens-soccer/roster/lexi-tuite/11556,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251020025529/https://uncbears.com/sports/womens-soccer/roster/lexi-tuite/11556,33,todo,
Northern Illinois,mens-soccer,NCAA D1,MAC,https://niuhuskies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://niuhuskies.com/sports/mens-soccer/roster/2025,28,todo,
Northern Illinois,womens-soccer,NCAA D1,Horizon,https://niuhuskies.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251002232357/https://niuhuskies.com/sports/womens-soccer/roster,29,todo,
Northern Iowa,womens-soccer,NCAA D1,Missouri Valley,https://unipanthers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251112001746/https://unipanthers.com/sports/womens-soccer/roster,24,todo,
Northern Kentucky,mens-soccer,NCAA D1,Horizon League,https://nkunorse.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nkunorse.com/sports/mens-soccer/roster/2025,28,todo,
Northern Kentucky,womens-soccer,NCAA D1,Horizon,https://nkunorse.com/sports/womens-soccer/roster/lilly-yordy/6424,no year in URL — check the site for a 2024 season selector,https://nkunorse.com/sports/womens-soccer/roster/lilly-yordy/6424,29,todo,
Northern Michigan,mens-soccer,NCAA D2,GLIAC,https://nmuwildcats.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nmuwildcats.com/sports/mens-soccer/roster/2025,28,todo,
Northern Michigan,womens-soccer,NCAA D2,Great Lakes Intercollegiate Athletic Conference,https://nmuwildcats.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nmuwildcats.com/sports/womens-soccer/roster/2025,30,todo,
Northern State,womens-soccer,NCAA D2,Northern Sun Intercollegiate Conference,https://nsuwolves.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nsuwolves.com/sports/womens-soccer/roster/2025,32,todo,
Northwest Missouri State,womens-soccer,NCAA D2,Mid-America Intercollegiate Athletics Association,https://bearcatsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bearcatsports.com/sports/womens-soccer/roster/2025,27,todo,
Northwest Nazarene,mens-soccer,NCAA D2,GNAC,https://nnusports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nnusports.com/sports/mens-soccer/roster/2025,34,todo,
Northwest Nazarene,womens-soccer,NCAA D2,Great Northwest Athletic Conference,https://nnusports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nnusports.com/sports/womens-soccer/roster/2025,27,todo,
Northwestern,mens-soccer,NCAA D1,Big Ten,https://nusports.com/sports/mens-soccer/roster/season/2024,year-swap (direct),https://nusports.com/sports/mens-soccer/roster/season/2025,29,todo,
Northwestern,womens-soccer,NCAA D1,Big Ten,https://nusports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251216180133/https://nusports.com/sports/womens-soccer/roster,27,todo,
Northwestern Oklahoma State,womens-soccer,NCAA D2,Great American Conference,https://riderangersride.com/sports/womens-soccer/roster/2024,year-swap (direct),https://riderangersride.com/sports/womens-soccer/roster/2025,29,todo,
Northwestern State,womens-soccer,NCAA D1,Southland,https://nsudemons.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251114060633/https://nsudemons.com/sports/womens-soccer/roster,24,todo,
Northwood,mens-soccer,NCAA D2,GLIAC,https://www.gonorthwood.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.gonorthwood.com/sports/msoc/2025-26/roster,36,todo,
Notre Dame,mens-soccer,NCAA D1,ACC,https://fightingirish.com/sports/msoc/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251116093351/https://fightingirish.com/sports/msoc/roster/,27,todo,
Notre Dame,womens-soccer,NCAA D1,ACC,https://fightingirish.com/sports/wsoc/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251217034115/https://fightingirish.com/sports/wsoc/roster/,30,todo,
Notre Dame of Maryland University,womens-soccer,NCAA D3,United East,https://notredamegators.com/sports/womens-soccer/roster/2024,year-swap (direct),https://notredamegators.com/sports/womens-soccer/roster/2025,20,todo,
Nova Southeastern,mens-soccer,NCAA D2,Sunshine State,https://nsusharks.com/sports/mens-soccer/roster/2024,year-swap (direct),https://nsusharks.com/sports/mens-soccer/roster/2025,25,todo,
Nova Southeastern,womens-soccer,NCAA D2,Sunshine State Conference,https://nsusharks.com/sports/womens-soccer/roster/2024,year-swap (direct),https://nsusharks.com/sports/womens-soccer/roster/2025,29,todo,
Oakland,mens-soccer,NCAA D1,Horizon League,https://goldengrizzlies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goldengrizzlies.com/sports/mens-soccer/roster/2025,28,todo,
Oakland,womens-soccer,NCAA D1,Horizon,https://goldengrizzlies.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251105182128/https://goldengrizzlies.com/sports/womens-soccer/roster,30,todo,
Oberlin,mens-soccer,NCAA D3,NCAC,https://goyeo.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goyeo.com/sports/mens-soccer/roster/2025,32,todo,
Oberlin College,womens-soccer,NCAA D3,North Coast Athletic Conference,https://goyeo.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goyeo.com/sports/womens-soccer/roster/2025,26,todo,
Occidental College,womens-soccer,NCAA D3,Southern California Intercollegiate Athletic Conference,https://oxyathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://oxyathletics.com/sports/womens-soccer/roster/2025,32,todo,
Oglethorpe,mens-soccer,NCAA D3,SAA,https://gopetrels.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gopetrels.com/sports/mens-soccer/roster/2025,26,todo,
Oglethorpe University,womens-soccer,NCAA D3,Southern Athletic Association,https://gopetrels.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gopetrels.com/sports/womens-soccer/roster/2025,27,todo,
Ohio,womens-soccer,NCAA D1,MAC,https://ohiobobcats.com/sports/wsoc/roster,no year in URL — check the site for a 2024 season selector,https://ohiobobcats.com/sports/wsoc/roster,28,todo,
Ohio Dominican,mens-soccer,NCAA D2,GMAC,https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ohiodominicanpanthers.com/sports/mens-soccer/roster/2025,30,todo,
Ohio Dominican,womens-soccer,NCAA D2,Great Midwest Athletic Conference,https://ohiodominicanpanthers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ohiodominicanpanthers.com/sports/womens-soccer/roster/2025,32,todo,
Ohio Northern,mens-soccer,NCAA D3,OAC,https://www.onusports.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.onusports.com/sports/msoc/2025-26/roster,46,todo,
Ohio Northern University,womens-soccer,NCAA D3,Ohio Athletic Conference,https://www.onusports.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.onusports.com/sports/wsoc/2025-26/roster,28,todo,
Ohio State,mens-soccer,NCAA D1,Big Ten,https://ohiostatebuckeyes.com/sports/mens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250929042626/https://ohiostatebuckeyes.com/sports/mens-soccer/roster,27,todo,
Ohio State,womens-soccer,NCAA D1,Big Ten,https://ohiostatebuckeyes.com/sports/womens-soccer/roster/amanda-schlueter/12229,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251104003951/https://ohiostatebuckeyes.com/sports/womens-soccer/roster/amanda-schlueter/12229,25,todo,
Ohio Wesleyan,mens-soccer,NCAA D3,NCAC,https://battlingbishops.com/sports/mens-soccer/roster/2024,year-swap (direct),https://battlingbishops.com/sports/mens-soccer/roster/2025,35,todo,
Ohio Wesleyan University,womens-soccer,NCAA D3,North Coast Athletic Conference,https://battlingbishops.com/sports/womens-soccer/roster/2024,year-swap (direct),https://battlingbishops.com/sports/womens-soccer/roster/2025,31,todo,
Oklahoma,womens-soccer,NCAA D1,SEC,https://soonersports.com/sports/soccer/roster/2024,year-swap (direct),https://soonersports.com/sports/soccer/roster/2025,28,todo,
Oklahoma Baptist,womens-soccer,NCAA D2,Great American Conference,https://obubison.com/sports/womens-soccer/roster/2024,year-swap (direct),https://obubison.com/sports/womens-soccer/roster/2025,25,todo,
Oklahoma Christian,mens-soccer,NCAA D2,Heartland,https://oceagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://oceagles.com/sports/mens-soccer/roster/2025,37,todo,
Oklahoma Christian,womens-soccer,NCAA D2,Lone Star Conference,https://oceagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://oceagles.com/sports/womens-soccer/roster/2025,34,todo,
Oklahoma State,womens-soccer,NCAA D1,Big 12,https://okstate.com/sports/womens-soccer/roster/xcaret-pineda/13760,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251001185702/https://okstate.com/sports/womens-soccer/roster/xcaret-pineda/13760,39,todo,
Old Dominion,mens-soccer,NCAA D1,Sun Belt,https://odusports.com/sports/mens-soccer/roster/season/2024,year-swap (direct),https://odusports.com/sports/mens-soccer/roster/season/2025,28,todo,
Old Dominion,womens-soccer,NCAA D1,Sun Belt,https://odusports.com/sports/womens-soccer/roster/season/2024,year-swap (direct),https://odusports.com/sports/womens-soccer/roster/season/2025,25,todo,
Ole Miss,womens-soccer,NCAA D1,SEC,https://olemisssports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251213170732/https://olemisssports.com/sports/womens-soccer/roster,30,todo,
Olivet,mens-soccer,NCAA D3,MIAA-D3,https://olivetcomets.com/sports/msoc/2024-26/roster,year-swap (direct),https://olivetcomets.com/sports/msoc/2025-26/roster,37,todo,
Olivet College,womens-soccer,NCAA D3,Michigan Intercollegiate Athletic Association,https://olivetcomets.com/sports/wsoc/2024-26/roster,year-swap (direct),https://olivetcomets.com/sports/wsoc/2025-26/roster,23,todo,
Omaha,mens-soccer,NCAA D1,Summit League,https://omavs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://omavs.com/sports/mens-soccer/roster/2025,28,todo,
Omaha,womens-soccer,NCAA D1,Summit,https://omavs.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250919000418/https://omavs.com/sports/womens-soccer/roster,25,todo,
Oral Roberts,mens-soccer,NCAA D1,Summit League,https://oruathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://oruathletics.com/sports/mens-soccer/roster/2025,30,todo,
Oral Roberts,womens-soccer,NCAA D1,Summit,,no source URL recorded — discover from scratch,,34,todo,
Oregon,womens-soccer,NCAA D1,Big Ten,https://goducks.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251129071738/https://goducks.com/sports/womens-soccer/roster,33,todo,
Oregon State,mens-soccer,NCAA D1,ACC,https://osubeavers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://osubeavers.com/sports/mens-soccer/roster/2025,27,todo,
Oregon State,womens-soccer,NCAA D1,Pac-12,https://osubeavers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251212023719/https://osubeavers.com/sports/womens-soccer/roster,31,todo,
Otterbein,mens-soccer,NCAA D3,OAC,https://otterbeincardinals.com/sports/mens-soccer/roster/2024,year-swap (direct),https://otterbeincardinals.com/sports/mens-soccer/roster/2025,26,todo,
Otterbein University,womens-soccer,NCAA D3,Ohio Athletic Conference,https://otterbeincardinals.com/sports/womens-soccer/roster/2024,year-swap (direct),https://otterbeincardinals.com/sports/womens-soccer/roster/2025,38,todo,
Ouachita Baptist,mens-soccer,NCAA D2,GAC,https://obutigers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://obutigers.com/sports/mens-soccer/roster/2025,34,todo,
Ouachita Baptist,womens-soccer,NCAA D2,Great American Conference,https://obutigers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://obutigers.com/sports/womens-soccer/roster/2025,27,todo,
Pace,womens-soccer,NCAA D2,Northeast-10 Conference,https://paceuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://paceuathletics.com/sports/womens-soccer/roster/2025,39,todo,
Pacific,mens-soccer,NCAA D1,WCC,https://pacifictigers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://pacifictigers.com/sports/mens-soccer/roster/2025,28,todo,
Pacific,womens-soccer,NCAA D1,West Coast,https://pacifictigers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251104220244/https://pacifictigers.com/sports/womens-soccer/roster,28,todo,
Pacific Lutheran,mens-soccer,NCAA D3,NWC,https://golutes.com/sports/mens-soccer/roster/2024,year-swap (direct),https://golutes.com/sports/mens-soccer/roster/2025,40,todo,
Pacific Lutheran University,womens-soccer,NCAA D3,Northwest Conference,https://golutes.com/sports/womens-soccer/roster/2024,year-swap (direct),https://golutes.com/sports/womens-soccer/roster/2025,40,todo,
Pacific University,womens-soccer,NCAA D3,Northwest Conference,https://goboxers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goboxers.com/sports/womens-soccer/roster/2025,31,todo,
Palm Beach Atlantic,mens-soccer,NCAA D2,Sunshine State,https://pbasailfish.com/sports/mens-soccer/roster/2024,year-swap (direct),https://pbasailfish.com/sports/mens-soccer/roster/2025,31,todo,
Palm Beach Atlantic,womens-soccer,NCAA D2,Sunshine State Conference,https://pbasailfish.com/sports/womens-soccer/roster/2024,year-swap (direct),https://pbasailfish.com/sports/womens-soccer/roster/2025,27,todo,
Penn,mens-soccer,NCAA D1,Ivy League,https://pennathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://pennathletics.com/sports/mens-soccer/roster/2025,33,todo,
Penn,womens-soccer,NCAA D1,Ivy League,https://pennathletics.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251118215547/https://pennathletics.com/sports/womens-soccer/roster,28,todo,
Penn State,mens-soccer,NCAA D1,Big Ten,https://gopsusports.com/sports/mens-soccer/roster/season/2024,year-swap (direct),https://gopsusports.com/sports/mens-soccer/roster/season/2025,26,todo,
Penn State,womens-soccer,NCAA D1,Big Ten,https://gopsusports.com/sports/womens-soccer/roster/season/2024,year-swap (direct),https://gopsusports.com/sports/womens-soccer/roster/season/2025,28,todo,
Penn State Behrend,mens-soccer,NCAA D3,AMCC,https://www.psblions.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.psblions.com/sports/msoc/2025-26/roster,24,todo,
Penn State Harrisburg,mens-soccer,NCAA D3,AMCC,https://psuharrisburgsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://psuharrisburgsports.com/sports/mens-soccer/roster/2025,34,todo,
PennWest California,mens-soccer,NCAA D2,PSAC,https://calvulcans.com/sports/mens-soccer/roster/2024,year-swap (direct),https://calvulcans.com/sports/mens-soccer/roster/2025,30,todo,
PennWest California,womens-soccer,NCAA D2,Pennsylvania State Athletic Conference,https://calvulcans.com/sports/womens-soccer/roster/2024,year-swap (direct),https://calvulcans.com/sports/womens-soccer/roster/2025,27,todo,
PennWest Clarion,womens-soccer,NCAA D2,Pennsylvania State Athletic Conference,https://clariongoldeneagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://clariongoldeneagles.com/sports/womens-soccer/roster/2025,30,todo,
PennWest Edinboro,womens-soccer,NCAA D2,Pennsylvania State Athletic Conference,https://gofightingscots.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gofightingscots.com/sports/womens-soccer/roster/2025,31,todo,
PennWest Johnstown,mens-soccer,NCAA D2,PSAC,https://pittjohnstownathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://pittjohnstownathletics.com/sports/mens-soccer/roster/2025,32,todo,
Pennsylvania College of Technology,womens-soccer,NCAA D3,United East Conference,https://pctwildcats.com/sports/womens-soccer/roster/2024,year-swap (direct),https://pctwildcats.com/sports/womens-soccer/roster/2025,31,todo,
Pennsylvania State University-Penn State Abington,womens-soccer,NCAA D3,United East Conference,https://abingtonsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://abingtonsports.com/sports/womens-soccer/roster/2025,20,todo,
Pennsylvania State University-Penn State Altoona,womens-soccer,NCAA D3,Allegheny Mountain Collegiate Conference,https://www.psaltoonalions.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.psaltoonalions.com/sports/wsoc/2025-26/roster,19,todo,
Pennsylvania State University-Penn State Berks,womens-soccer,NCAA D3,United East Conference,https://psuberksathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://psuberksathletics.com/sports/womens-soccer/roster/2025,19,todo,
Pennsylvania State University-Penn State Brandywine,womens-soccer,NCAA D3,United East Conference,https://www.psubrandywineathletics.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.psubrandywineathletics.com/sports/wsoc/2025-26/roster,17,todo,
Pennsylvania State University-Penn State Erie (Behrend College),womens-soccer,NCAA D3,Allegheny Mountain Collegiate Conference,https://www.psblions.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.psblions.com/sports/wsoc/2025-26/roster,30,todo,
Pennsylvania State University-Penn State Harrisburg,womens-soccer,NCAA D3,United East Conference,https://psuharrisburgsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://psuharrisburgsports.com/sports/womens-soccer/roster/2025,25,todo,
Pennsylvania State University-Penn State Schuylkill,womens-soccer,NCAA D3,Eastern College Athletic Conference,https://www.psuschuylkillathletics.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.psuschuylkillathletics.com/sports/wsoc/2025-26/roster,19,todo,
Pepperdine,womens-soccer,NCAA D1,West Coast,https://pepperdinewaves.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251218043913/https://pepperdinewaves.com/sports/womens-soccer/roster,29,todo,
Pfeiffer University,womens-soccer,NCAA D3,USA South Athletic Conference,https://gofalconsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gofalconsports.com/sports/womens-soccer/roster/2025,26,todo,
Piedmont University,womens-soccer,NCAA D3,Collegiate Conference of the South,https://piedmontlions.com/sports/womens-soccer/roster/2024,year-swap (direct),https://piedmontlions.com/sports/womens-soccer/roster/2025,42,todo,
Pitt-Johnstown,womens-soccer,NCAA D2,Pennsylvania State Athletic Conference,https://pittjohnstownathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://pittjohnstownathletics.com/sports/womens-soccer/roster/2025,25,todo,
Pittsburgh,mens-soccer,NCAA D1,ACC,https://pittsburghpanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://pittsburghpanthers.com/sports/mens-soccer/roster/2025,26,todo,
Pittsburgh,womens-soccer,NCAA D1,ACC,https://pittsburghpanthers.com/sports/womens-soccer/roster/ellermeyer-katie/14522,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251008112849/https://pittsburghpanthers.com/sports/womens-soccer/roster/ellermeyer-katie/14522,31,todo,
Pitzer College,womens-soccer,NCAA D3,Southern California Intercollegiate Athletic Conference,https://sagehens.com/sports/womens-soccer/roster/2024,year-swap (direct),https://sagehens.com/sports/womens-soccer/roster/2025,29,todo,
Plattsburgh State,mens-soccer,NCAA D3,SUNYAC,https://gocardinalsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gocardinalsports.com/sports/mens-soccer/roster/2025,31,todo,
Plymouth State,mens-soccer,NCAA D3,LEC,https://athletics.plymouth.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.plymouth.edu/sports/mens-soccer/roster/2025,27,todo,
